path,file_type,bytes,sha256,git_status,scientific_category,proposed_action,reason,replacement_or_archive
.gitignore,none,267,e5d7049278aa80a85f7429b44a756716498e3a2fdb0f17648ae4b902fd1dc231,tracked,project_file,KEEP,Project configuration or handoff pointer.,.gitignore
GPT_REPO_HANDOFF.md,md,3560,1f795c27d085aee322ff4b5c8b3dc06ccaf10d8640804361556057834ad5895f,tracked,project_file,KEEP,Project configuration or handoff pointer.,GPT_REPO_HANDOFF.md
Literature/Zhu_2016_ApJ_832_193.pdf,pdf,3677450,db994f69c8f0bfa8872ae26ff3d3a2d1b1acaa5b1713a1400bf881602fb8ac24,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/Zhu_2016_ApJ_832_193.pdf
Literature/aa55258-25.pdf,pdf,566908,70b2651cfe75cc21c14bd0d1d84feda987ff4ea1f82a51c20f02df73b0466192,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/aa55258-25.pdf
Note/CODEX_118BCF2_REEVALUATION_TWO_PASS_SONIC_WALL_PLAN.md,md,16827,7c9469663c62f6c5309e14d827fb16987bd668c7845ec704d468fcdffb095048,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_118BCF2_REEVALUATION_TWO_PASS_SONIC_WALL_PLAN.md
Note/CODEX_42BBBB8_SLOPE_GRID_VALIDATION_NEXT_STEPS.md,md,19175,4f9c890ea3e4e5cd33d74fd6dbab94df3d7fa3b9dc9b52804ec650badf2431c2,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_42BBBB8_SLOPE_GRID_VALIDATION_NEXT_STEPS.md
Note/CODEX_5EEBBEE_STANDARD_SLIM_BENCHMARK_FIX_PLAN.md,md,16701,85f0eb735124b3a0bed2da6c9386cb43125b276791798c427ec7a23fe05eda06,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_5EEBBEE_STANDARD_SLIM_BENCHMARK_FIX_PLAN.md
Note/CODEX_7A04A41_STANDARD_SLIM_MDOT_CONTINUATION_PLAN.md,md,20104,37de7efa4c459b496d1b44e80f3d07facb54e31fb8537a93436fe8841e961767,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_7A04A41_STANDARD_SLIM_MDOT_CONTINUATION_PLAN.md
Note/CODEX_ADAPTIVE_SOURCE_FRONT_0808_RESULTS.md,md,4734,9e77a54efaa218410ab036a09dcf91a5534a60492c55f42eeb6bc8e7aa8d2430,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_ADAPTIVE_SOURCE_FRONT_0808_RESULTS.md
Note/CODEX_AFTER_STANDARD_SLIM_STREAM_ANNULUS_NEXT_PLAN.md,md,17079,6385ca3f48b0617d634797ab0ca3b03dcdbd14f42e88a98cf134e70fe9121167,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_AFTER_STANDARD_SLIM_STREAM_ANNULUS_NEXT_PLAN.md
Note/CODEX_ARCLENGTH_GLOBAL_JACOBIAN_ABOVE_EDDINGTON.md,md,24570,743266eba8be3fd8359a9b0b55495051b6e0e2f8c651c41ddc68d3c5c3d6fd96,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_ARCLENGTH_GLOBAL_JACOBIAN_ABOVE_EDDINGTON.md
Note/CODEX_COMPACT_SOURCE_FS085_PILOT_RESULTS.md,md,4775,245ce326ab4e31ae8a993f0398c9de8c5b94d4628b7abd7cb8cb54a4987fe3af,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_COMPACT_SOURCE_FS085_PILOT_RESULTS.md
Note/CODEX_COMPACT_SOURCE_FS086_OUTER_EDGE_RESULTS.md,md,5509,0112152143b5c0d8b2ed5521a3a6d762411dc5f6889b885ddd873e11226f1eb1,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_COMPACT_SOURCE_FS086_OUTER_EDGE_RESULTS.md
Note/CODEX_COMPACT_SOURCE_INFRASTRUCTURE_RESULTS.md,md,3373,8abdaa0d0742c8a3682bb70b80db21e14b38770661dfa98dfa29895805f04d54,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_COMPACT_SOURCE_INFRASTRUCTURE_RESULTS.md
Note/CODEX_COMPACT_SOURCE_INTEGRATED_INTERVAL_RESULTS.md,md,5985,8aa76909335d6f6136844ec6ce690804f58d9b8a7ff4a97fa38c3634a462caa4,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_COMPACT_SOURCE_INTEGRATED_INTERVAL_RESULTS.md
Note/CODEX_COMPACT_SOURCE_MESH_VALIDATION_PLAN.md,md,22195,df464fdf3a040bfbbece350193ca0f7524e16613eae964862beb32bbfb1834be,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_COMPACT_SOURCE_MESH_VALIDATION_PLAN.md
Note/CODEX_COMPACT_SOURCE_OUTER_BUFFER_RESULTS.md,md,16921,e599cff9b3126402632b6120a01969bef9290d4b41eebd27271dc241f35ddd79,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_COMPACT_SOURCE_OUTER_BUFFER_RESULTS.md
Note/CODEX_COMPACT_SOURCE_OUTER_CLOSURE_AUDIT.md,md,3652,37a79379ae4031810954cd8fac43f2951aee09b5f22d8c8af2e33d9a5d6926d4,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_COMPACT_SOURCE_OUTER_CLOSURE_AUDIT.md
Note/CODEX_COMPACT_SOURCE_SHAPE_RESULTS.md,md,6353,3c4161c0aae0fc6f19470bf35a41dd863634d9e9c2762e4a3585251619a2819d,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_COMPACT_SOURCE_SHAPE_RESULTS.md
Note/CODEX_COST_AWARE_AND_ROBIN_RESULTS.md,md,5002,30d3196e4e60341b6e2a310ab5e6c49c48553ee5fd676e0dd719ca11f26566e0,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_COST_AWARE_AND_ROBIN_RESULTS.md
Note/CODEX_DIFF_CLEANUP_GATE_RESULTS.md,md,4374,aa1786e3a3996cce21fa1f1f3efef5de47a48da41fc8b595c8ee794738989182,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_DIFF_CLEANUP_GATE_RESULTS.md
Note/CODEX_E8D9CFA_FIXED_MDOT_RESIDUAL_FLOOR_NEXT_STEPS.md,md,20484,7c489fc01e2e1fd35d1556e32457b7d4e07ede9b0c74d50b293e987e59ac68ae,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_E8D9CFA_FIXED_MDOT_RESIDUAL_FLOOR_NEXT_STEPS.md
Note/CODEX_FIXED_MDOT_OUTER_BC_AND_DEFECT_NEXT_STEPS.md,md,20666,ff4adcb36dc7b8f49e1b675682b01349f3028993c69276ff1e2f709fa83a4c2c,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_FIXED_MDOT_OUTER_BC_AND_DEFECT_NEXT_STEPS.md
Note/CODEX_FLOWMAP_FAILURE_BACKWARD_SHOOTING_MICROGRID_PLAN.md,md,18268,b9662ebcb669dda2072c71ceaa7300170941b1e0700e23991eb734a2389c3360,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_FLOWMAP_FAILURE_BACKWARD_SHOOTING_MICROGRID_PLAN.md
Note/CODEX_GLOBAL_SLIM_NEXT_STEPS.md,md,25949,cf4f1b31374e14b750d8064c3fbe865aff8fb21bb545236b2dca68f1e8a7905b,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_GLOBAL_SLIM_NEXT_STEPS.md
Note/CODEX_GRID_HOMOTOPY_HYBRID_ENERGY_RESULTS.md,md,11708,8fdf1a48db57e63157aeed24837337035c8aec0fa92f5a0c235e763746e936d4,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_GRID_HOMOTOPY_HYBRID_ENERGY_RESULTS.md
Note/CODEX_HIGH_MDOT_NOWIND_SPRINT_A_RESULTS.md,md,12492,f159ce51b2703df87a371f2191818b9f17bbb812cf789b62106aab1a5c4a2307,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_HIGH_MDOT_NOWIND_SPRINT_A_RESULTS.md
Note/CODEX_HIGH_MDOT_STREAM_BRIDGE_EVALUATION_AND_PLAN.md,md,29089,2e1a79c2d7ee758b50731e8670898aa1235a915adbad3be12c2ead1f5fa625e3,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_HIGH_MDOT_STREAM_BRIDGE_EVALUATION_AND_PLAN.md
Note/CODEX_HIGH_MDOT_STREAM_BRIDGE_RESULTS.md,md,11390,c85df011056f339f9b9cdc6d42e10ced3831ff1e750c61962fe8dd9f175e0fab,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_HIGH_MDOT_STREAM_BRIDGE_RESULTS.md
Note/CODEX_IMBH_PROJECT_REVIEW_P0_RESULTS_2026-07-10.md,md,4891,2ae1abeef08ee09c445c5f1d0f7759dd9b4ea2b5231ca17daad4180b46230174,tracked,current_scientific_report,KEEP,Current result or cleanup report; consolidate under docs/reports/current.,docs/reports/current/
Note/CODEX_IMBH_REPOSITORY_CLEANUP_SPEC_2026-07-10.md,md,23859,b809acb9eae12631e86ec50b710a0ac3d6e049f3687be6a917cc541820885830,tracked,current_scientific_report,KEEP,Current result or cleanup report; consolidate under docs/reports/current.,docs/reports/current/
Note/CODEX_IMRI_QPE_PROJECT_BRIEF.md,md,21957,dad4598de8b23f8a5678b07a9d9dd89f4c1ba0aa5afddcfd04a7a9fdb98adcb0,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_IMRI_QPE_PROJECT_BRIEF.md
Note/CODEX_LATEST_FLOWMAP_TAIL_MATCHING_NEXT_STEPS.md,md,16390,a6f11bfdaab3a949569d6560ec875bef5d2c5da000991d06e1204f1d3b82229d,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_LATEST_FLOWMAP_TAIL_MATCHING_NEXT_STEPS.md
Note/CODEX_LATEST_GRID_OUTER_EXTENSION_NEXT_STEPS.md,md,17879,a42432e5bf3b1179c36c70b363b1d08dcef9ad7e897848b1a3d9c7d3fe71731a,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_LATEST_GRID_OUTER_EXTENSION_NEXT_STEPS.md
Note/CODEX_MDOT3_BUFFER_AND_MDOT5_STREAM_RESULTS.md,md,23866,c6c702dd0a309ca4285fa04931a40ecb240a6fda4050ab2586b40b81fd88dc62,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT3_BUFFER_AND_MDOT5_STREAM_RESULTS.md
Note/CODEX_MDOT3_FS030_FAST_SCOUT_RESULTS.md,md,5529,b4f0f50c59359a678c43a8975e77d191e0edcd337a01e72db3ba1ee8a6bfbcf3,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT3_FS030_FAST_SCOUT_RESULTS.md
Note/CODEX_MDOT3_FS050_FAST_SCOUT_RESULTS.md,md,5267,fafc1d089eecf5c81e6c20ef6284f0aa0ba125949a0f6b1c249695cc93e3d46e,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT3_FS050_FAST_SCOUT_RESULTS.md
Note/CODEX_MDOT3_LOW_SOURCE_STREAM_RESULTS.md,md,5884,ff11084793fe95b9b0efbab45dc7c72a2ec39ea098656619256f69bd652fb27e,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT3_LOW_SOURCE_STREAM_RESULTS.md
Note/CODEX_MDOT5_ADAPTIVE_ACTIVE_WINDOW_ETA_CONTINUATION_RESULTS.md,md,7966,0ad2408e226f10ca2447dcbae7434080da59c23fcf01140cf3fba9cef5844a98,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_ADAPTIVE_ACTIVE_WINDOW_ETA_CONTINUATION_RESULTS.md
Note/CODEX_MDOT5_ADAPTIVE_ACTIVE_WINDOW_NEXT_PLAN.md,md,21604,22333774ceba8dcc7c22152faabcf3daadae4f8cdaa394af1a7c28e5e003afd4,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_ADAPTIVE_ACTIVE_WINDOW_NEXT_PLAN.md
Note/CODEX_MDOT5_ANGULAR_MOMENTUM_LEDGER_RESULTS.md,md,2615,1f543e8e528d9e6a4bcfc84e21255aa53a776196622d0a6ae19cf0f839823018,tracked,current_scientific_report,KEEP,Current result or cleanup report; consolidate under docs/reports/current.,docs/reports/current/
Note/CODEX_MDOT5_BROAD_CONSERVATIVE_BLOCK_RESULTS.md,md,9297,7718c2792c9ac6dcf8d54a66200ab7ee4ce6a8d69246c4ec1fdd01a7af215279,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_BROAD_CONSERVATIVE_BLOCK_RESULTS.md
Note/CODEX_MDOT5_BROAD_MASS_INCREMENT_RESULTS.md,md,3703,cddfcf096d75b6f1c2d41c40827aea336ea1a94eb08af7c3dc9e1395bb0e7357,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_BROAD_MASS_INCREMENT_RESULTS.md
Note/CODEX_MDOT5_BROAD_MASS_REPLACEMENT_RESULTS.md,md,4361,828c1540b85d74208a116ba32b9a7d0f8d42d42634a152c2309189847acfd6c9,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_BROAD_MASS_REPLACEMENT_RESULTS.md
Note/CODEX_MDOT5_CONSERVATIVE_SOURCE_ELEMENT_RESULTS.md,md,7057,4d020bddb4323f3defb2598b67d58625c345b7abb4c284bba4b5c11ed9462fb4,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_CONSERVATIVE_SOURCE_ELEMENT_RESULTS.md
Note/CODEX_MDOT5_COUPLED_INNER_WINDOW_ETA_CONTINUATION_RESULTS.md,md,6686,d28561c2a67e2464350e1e97137349999ec33c9dab5d0bc2b35e93430746e263,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_COUPLED_INNER_WINDOW_ETA_CONTINUATION_RESULTS.md
Note/CODEX_MDOT5_DAE_LOBATTO_ELEMENT_RESULTS.md,md,5458,8e8469d90676611eaaad9c62e26ca45fde1afd5044ead180ef2a968c02441d5a,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_DAE_LOBATTO_ELEMENT_RESULTS.md
Note/CODEX_MDOT5_DAE_LOBATTO_TANGENT_HOMOTOPY_RESULTS.md,md,5328,c442f46303d8fcfdfb02817a3ffaa2baa91a7030e78d3ff08e4a558dfaac684f,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_DAE_LOBATTO_TANGENT_HOMOTOPY_RESULTS.md
Note/CODEX_MDOT5_ENDPOINT_VALIDITY_AND_EXPONENT_AUDIT_RESULTS.md,md,5450,dbf51f5533f9b71c7b6d4c1f9c5ff0c225abc6211757b6c8b0748d0936c0f0be,tracked,current_scientific_report,KEEP,Current result or cleanup report; consolidate under docs/reports/current.,docs/reports/current/
Note/CODEX_MDOT5_ENERGY_WIND_ENDPOINT_REVIEW_AND_PLAN.md,md,24290,1cd4ddd245a4a87af9af196f7b8cdfea14665543bd6701cbdea6ef8376ca2515,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_ENERGY_WIND_ENDPOINT_REVIEW_AND_PLAN.md
Note/CODEX_MDOT5_ENERGY_WIND_VALIDATION_RESULTS.md,md,7750,25e58aa7398e7f22eb2f0277c09ce750c4400b95b33ab104d4d74654b26f6b06,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_ENERGY_WIND_VALIDATION_RESULTS.md
Note/CODEX_MDOT5_ETA_TANGENT_CONTINUATION_RESULTS.md,md,14937,84bf2ec2705d7564cb3d44bf7fe9ce42a3cef8f07b9915b50647cb869dc35dce,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_ETA_TANGENT_CONTINUATION_RESULTS.md
Note/CODEX_MDOT5_GLOBAL_FLUX_PRODUCTION_RESULTS.md,md,9973,b728b7101e4ff3ac564a856ca0dfbca3e423b696c2e66ba648dd37c35d807253,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_GLOBAL_FLUX_PRODUCTION_RESULTS.md
Note/CODEX_MDOT5_GLOBAL_FLUX_VARIABLE_RESULTS.md,md,5345,9bc55a2e9804797545e007824073f482f2d2cd4b58f3d4241c1cf2885e6a0b66,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_GLOBAL_FLUX_VARIABLE_RESULTS.md
Note/CODEX_MDOT5_GLOBAL_FV_HOMOTOPY_RESULTS.md,md,5422,85dead0985bf9003a2cc41d104c279fc5adf4b64299342e083523a4ea3d046ec,tracked,historical_scientific_note,ARCHIVE,Superseded numerical diary; preserve through tag/archive and summarize in milestones.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Note/CODEX_MDOT5_GLOBAL_FV_HOMOTOPY_RESULTS.md
